proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash,market_id,segment,whale_threshold,day
0x118b7ab859f8ebccbc12b41ed279366e73f2cdb0,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,1000.0,0.001,1732644955,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,caifutianxia11,Gifted-Device,,,,0x4683332939b8cc8e4a64172c106de2efe2405ada62e9eb27e07a8c653819412f,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,19
0x47f41564097e5599b3695db8ac4e19b3bf5c5d4b,SELL,79628252282783580515897244839711123739448653545352582596191633232282734475285,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,166.0,0.999,1732549230,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,No,1,Reader_of_Vunjan,Traumatic-Initial,,,,0x521f56ac358bf5bc1b5741fe948a73e87784e973e1f697a7ced0551a33b30c3c,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,18
0x660841855373671c53e94da1588c6e7b075c9999,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,2500.0,0.001,1732453900,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,Floriette,Infamous-Chapel,,,,0xdff8c1c4d984833ba54fb983174870460f615c99d7ba71106b9ba763939a54a1,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,17
0x88b59d79b6e1659c95a0043028e5bb7a26e6205c,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,472.13,0.001,1732452590,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,almost-never,,,,,0x6f00321cad5b1014787963ef80828c53672d375651f8fbd516af380db78b53c8,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,17
0x347a522d5fe7f612b9d855a09143a5cad88883e3,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,220.79,0.001,1731974186,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,Joe2028,Obedient-Chino,"Look, fat, look, heres the deal",https://polymarket-upload.s3.us-east-2.amazonaws.com/joe_9a5d8995-cd4d-4f27-aff1-14d3aded21d2_1742258070781.PNG,,0x404096b3d1a062842ae5436f4a85ccf78654d58a0e9603b6f9f3e584b818a394,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,11
0x20275a9ab620f052e90a43dc4a7eee486cae6d60,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,100.0,0.001,1731820964,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,JPow823747392,Exemplary-Gale,,https://polymarket-upload.s3.us-east-2.amazonaws.com/profile-image-787437-2ed3c724-43bf-4513-a6d7-b9c536af1025.jpeg,,0xd3d71e1a3828f1c00aeb8f4f8a8d0cb8b58da501b421a53dc54ba09c19a7f3a4,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,10
0x4b4e982d1ae8d530855fa7ecdeb36dac20f83896,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,280.0,0.001,1731744251,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,srhdfhdhtd,Ordinary-Lychee,,,,0x9250f400fdc553b3a4d6e5e9faae2f4d21c655989d7e91a39f4b258b6684975c,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,9
0x4b4e982d1ae8d530855fa7ecdeb36dac20f83896,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,280.0,0.002,1731744213,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,srhdfhdhtd,Ordinary-Lychee,,,,0xafd51a56a930b3bb07561397a62392c90bb788546ce5f5b6b6fb353ff8a85e93,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,9
0x226bf1220731af372b1e7d572959414f31b4cad6,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,810.0,0.002,1731716686,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,botbot,Shocking-Survey,,,,0xc0d915f03429d11b3b2c40b884ae40ae2b11079fe4334e3e08583d885f4d14be,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,9
0x45580feac3b916a88b7513929e26f86b3adea2b3,SELL,79628252282783580515897244839711123739448653545352582596191633232282734475285,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,941.96,0.999,1731671356,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,No,1,Nowhere-Man,Huge-Cupcake,hmmm,,,0xb99602fd21f48f631356a50a163ceb50c4e07c5113abb2066a022a9391115c29,will-gallego-win-arizona-senate-election-by-0-1_trades,Large,2705.8373175814654,8
