segment,market_id,day,H_Y_jt,H_N_jt,p_segment_t
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,1,0.0,1000.76,0.0
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,2,11521.305969,7833.290000000001,0.5952749407661891
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,3,27399.044656,24849.974904000002,0.5243934697097309
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,4,28371.653746,33753.449904,0.45668581747307874
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,5,32500.141438,41174.009904000006,0.44113357053998925
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,6,31228.701438,42201.33990400001,0.42528508587585423
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,7,27809.021438,46048.04040400001,0.3765248812292442
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,8,29809.021438,45106.08040400001,0.3979040367704343
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,9,28999.021438,45106.08040400001,0.3913228740961589
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,10,28899.021438,45106.08040400001,0.39050039414443427
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,11,28678.231438,45106.08040400001,0.38867654548857067
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,12,28678.231438,45106.08040400001,0.38867654548857067
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,13,28678.231438,45106.08040400001,0.38867654548857067
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,14,28678.231438,45106.08040400001,0.38867654548857067
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,15,28678.231438,45106.08040400001,0.38867654548857067
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,16,28678.231438,45106.08040400001,0.38867654548857067
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,17,30706.101437999998,45106.08040400001,0.4050285942435282
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,18,30706.101437999998,44940.08040400001,0.40591739979864344
Large,will-gallego-win-arizona-senate-election-by-0-1_trades,19,31706.101437999998,44940.08040400001,0.41366837428848835
