segment,market_id,day,H_Y_jt,H_N_jt,p_segment_t
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,1,0.0,230.9,0.0
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,2,92.14270599999986,3080.4800000000005,0.029043070840330757
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,3,-294.66862700000013,8010.16,-0.03548160235865636
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,4,-1785.8978590000002,9651.2,-0.15614956530206253
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,5,-2282.707859,11493.85,-0.165695080176268
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,6,-2483.687859,11920.93,-0.17242303012212107
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,7,-2548.227859,12090.48,-0.17407464398801623
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,8,-2548.227859,12090.48,-0.17407464398801623
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,9,-2528.227859,12090.48,-0.17294468727230894
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,10,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,11,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,12,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,13,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,14,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,15,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,16,-2506.947859,12090.48,-0.17173901342176176
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,17,-2506.947859,12140.73,-0.17114984935715605
Medium,will-gallego-win-arizona-senate-election-by-0-1_trades,18,-2426.947859,12140.73,-0.16659812788903874
