segment,market_id,day,H_Y_jt,H_N_jt,p_segment_t
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,2,2786.5,4375.0,0.38909446345039445
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,3,7751.996169,4375.0,0.6392346514313474
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,4,18759.151169000004,380.0,0.9801454099690956
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,5,22503.591169000007,4704.12,0.8271034277458887
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,6,22503.591169000007,3425.3199999999997,0.8678957254442974
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,7,-10802.60883099999,3425.3199999999997,-0.7592537859384797
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,8,-7910.208830999991,3425.3199999999997,-0.6978244199218514
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,9,-7910.208830999991,3425.3199999999997,-0.6978244199218514
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,10,-7910.208830999991,-1646.6500000000005,-0.8276996627114873
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,11,-7910.208830999991,-1646.6500000000005,-0.8276996627114873
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,12,-12510.53883099999,-1646.6500000000005,-0.8836880669137978
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,13,-12510.53883099999,-1646.6500000000005,-0.8836880669137978
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,14,-12510.53883099999,-1646.6500000000005,-0.8836880669137978
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,15,-12510.53883099999,-1646.6500000000005,-0.8836880669137978
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,16,-9649.57771999999,-1646.6500000000005,-0.85423009868289
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,17,-9649.57771999999,-1646.6500000000005,-0.85423009868289
Whale,will-gallego-win-arizona-senate-election-by-0-1_trades,18,-862.777719999991,-1646.6500000000005,-0.3438145331398483
