market_id,event_slug,market_slug,event_title,market_title,small_count,medium_count,large_count,whale_count,total_trades,small_volume,medium_volume,large_volume,whale_volume,small_volume_share,medium_volume_share,large_volume_share,whale_volume_share,small_max,medium_max,large_max,whale_threshold
will-andrew-cuomos-vote-share-be-45-or-higher-in-the-first-round-of-the-nyc-democratic-mayoral-primary-223_trades,andrew-cuomo-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-andrew-cuomos-vote-share-be-45-or-higher-in-the-first-round-of-the-nyc-democratic-mayoral-primary-223,Will Andrew Cuomo’s vote share be 45% or higher in the first round of the NYC Democratic mayoral primary?,Will Andrew Cuomo’s vote share be 45% or higher in the first round of the NYC Democratic mayoral primary?,29,26,31,7,93,158.691013,439.084034,3879.175836,5062.304999999999,0.016635575661913506,0.04602917034466975,0.40665392390963295,0.5306813300837839,8.687,29.94,500.0,527.5373309470392
will-andrew-cuomos-vote-share-be-between-35-and-40-in-the-first-round-of-the-nyc-democratic-mayoral-primary-819_trades,andrew-cuomo-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-andrew-cuomos-vote-share-be-between-35-and-40-in-the-first-round-of-the-nyc-democratic-mayoral-primary-819,Will Andrew Cuomo’s vote share be between 35% and 40% in the first round of the NYC Democratic mayoral primary?,Will Andrew Cuomo’s vote share be between 35% and 40% in the first round of the NYC Democratic mayoral primary?,53,53,55,9,170,168.26626100000001,466.746258,2443.040485,2204.3,0.03185441428707668,0.08835953554155919,0.46249095491157743,0.4172950952597866,4.703516,12.46,146.55,151.0882476003603
will-andrew-cuomos-vote-share-be-between-40-and-45-in-the-first-round-of-the-nyc-democratic-mayoral-primary-319_trades,andrew-cuomo-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-andrew-cuomos-vote-share-be-between-40-and-45-in-the-first-round-of-the-nyc-democratic-mayoral-primary-319,Will Andrew Cuomo’s vote share be between 40% and 45% in the first round of the NYC Democratic mayoral primary?,Will Andrew Cuomo’s vote share be between 40% and 45% in the first round of the NYC Democratic mayoral primary?,22,21,22,4,69,128.160029,346.723528,2277.7727,2735.070539,0.0233539375709111,0.06318163073510265,0.4150667087983073,0.4983977228956789,9.09,21.0,280.0,434.36972986026217
will-andrew-cuomos-vote-share-be-less-than-35-in-the-first-round-of-the-nyc-democratic-mayoral-primary-721_trades,andrew-cuomo-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-andrew-cuomos-vote-share-be-less-than-35-in-the-first-round-of-the-nyc-democratic-mayoral-primary-721,Will Andrew Cuomo’s vote share be less than 35% in the first round of the NYC Democratic mayoral primary?,Will Andrew Cuomo’s vote share be less than 35% in the first round of the NYC Democratic mayoral primary?,114,116,118,19,367,150.056663,245.15010800000002,2787.788641,6554.505859,0.01541018160859144,0.02517587430053543,0.2862940464308361,0.6731198976600369,1.591,3.406812,125.0,193.70141312033473
will-gallego-win-arizona-senate-election-by-0-1_trades,arizona-senate-election-margin-of-victory,will-gallego-win-arizona-senate-election-by-0-1,Will Gallego win Arizona Senate election by 0-1%?,Will Gallego win Arizona Senate election by 0-1%?,293,418,383,33,1127,2292.2535369999996,18179.002140999997,138180.301842,181538.09227999998,0.0067381636635554095,0.05343784607111818,0.4061860845067956,0.5336379057585309,19.77,99.43,2516.58,2705.8373175814654
will-gallego-win-arizona-senate-election-by-1-2_trades,arizona-senate-election-margin-of-victory,will-gallego-win-arizona-senate-election-by-1-2,Will Gallego win Arizona Senate election by 1-2%?,Will Gallego win Arizona Senate election by 1-2%?,397,553,490,25,1465,2803.069765,23449.41193,188892.222189,182410.39233,0.007050770551539189,0.05898405567759949,0.4751347020522689,0.45883047171859237,19.99,99.189,2353.45,2592.3223778863944
will-gallego-win-arizona-senate-election-by-2-3-or-more_trades,arizona-senate-election-margin-of-victory,will-gallego-win-arizona-senate-election-by-2-3-or-more,Will Gallego win Arizona Senate election by 2-3%?,Will Gallego win Arizona Senate election by 2-3%?,318147,295934,361924,23995,1000000,4115303.375416001,16782787.637188002,143659362.21078598,111855379.00264001,0.014888250094159195,0.06071638390313326,0.5197275432325514,0.4046678227701561,24.77,99.97,2026.0,2111.8437217365736
will-gallego-win-arizona-senate-election-by-3-or-more_trades,arizona-senate-election-margin-of-victory,will-gallego-win-arizona-senate-election-by-3-or-more,Will Gallego win Arizona Senate election by 3% or more?,Will Gallego win Arizona Senate election by 3% or more?,436,485,474,29,1424,2734.880529,23333.821608,191659.906619,224265.914634,0.006187589176499457,0.05279210572347087,0.4336250710733043,0.5073952340267254,19.77,98.9898,3100.0,3328.9010198106653
will-kari-lake-win-arizona-senate-election-by-0-1_trades,arizona-senate-election-margin-of-victory,will-kari-lake-win-arizona-senate-election-by-0-1,Will Kari Lake win Arizona Senate election by 0-1%?,Will Kari Lake win Arizona Senate election by 0-1%?,415,416,430,11,1272,4983.063284,38163.788839,1149012.2550909999,81652.883332,0.003911929955898819,0.029960299575011604,0.9020265656303751,0.06410120483871466,26.67,260.0,3420.26,4088.233033862247
will-kari-lake-win-arizona-senate-election-by-1-2_trades,arizona-senate-election-margin-of-victory,will-kari-lake-win-arizona-senate-election-by-1-2,Will Kari Lake win Arizona Senate election by 1-2%?,Will Kari Lake win Arizona Senate election by 1-2%?,324,304,356,2,986,6635.836447000001,222383.232631,1927425.4728559996,19626.396666,0.0030494577769919775,0.10219484516165306,0.8857365073291366,0.009019189732218413,56.0,4692.8,5840.68,7285.959652312669
